8 A		8 B		8 C		8 D		8 E		8 F		8 G		8 H		8 I		
PEDRO	PEDRO	PEDRO	PEDRO	PEDRO	PEDRO	PEDRO	PEDRO	PEDRO	

7 A		7 B		7 C		7 D		7 E		7 F		7 G		7 H		7 I		
PEDRO	FERRAN	FERRAN	FERRAN	SERGIO	SERGIO	FELIX	FELIX	JOSEM	

6 A		6 B		6 C		6 D		6 E		6 F		6 G		6 H		6 I		
JOSE	JOSE	JOSE	JOSE	RAQUEL	RAQUEL	RAQUEL	RAQUEL	null	

5 A		5 B		5 C		5 D		5 E		5 F		5 G		5 H		5 I		
ANTONIO	ANTONIO	ANTONIO	ANTONIO	ANTONIO	ANTONIO	ANTONIO	ANTONIO	null	

4 A		4 B		4 C		4 D		4 E		4 F		4 G		4 H		4 I		
JUAN	JUAN	JUAN	JUAN	JUAN	JUAN	null	null	null	

3 A		3 B		3 C		3 D		3 E		3 F		3 G		3 H		3 I		
LAURA	LAURA	LAURA	LAURA	null	null	null	null	null	

2 A		2 B		2 C		2 D		2 E		2 F		2 G		2 H		2 I		
JOSEM	JOSEM	JOSEM	JOSEM	JOSEM	JOSEM	JOSEM	JOSEM	JOSEM	

1 A		1 B		1 C		1 D		1 E		1 F		1 G		1 H		1 I		
null	null	null	null	null	null	null	null	null	

						PANTALLA
